City,Type of Land,Area,Price,One Street,BackFrontStreets,Corner,Island,ElectricityGenerator,Yard,Width,Length,FrontYardArea,BackYardArea,RightYardArea,LeftYardArea,SeaSide,Floors,Basement
Salmiya,Residential,500,175000,0,1,0,0,0,0,79,87,47,56,45,62,1,6,1
Hateen,Commercial building,400,200000,0,1,1,0,0,1,86,88,58,70,92,77,1,5,0
Mangaf,Residential,1500,1300000,0,0,0,0,1,0,95,87,56,58,63,83,1,5,0
Qibla,Industrial,400,173000,1,1,1,0,0,1,62,68,67,91,77,94,1,2,0
Sabah Al Ahmed Al Bahreya,Investment building,400,180000,0,0,0,1,1,0,100,95,76,54,88,84,0,7,0
Surra,Residential,400,165000,1,1,1,0,0,0,42,47,61,68,49,91,1,7,1
Alfintas,Investment building,645,185000,0,0,0,1,1,0,70,83,48,86,64,100,1,4,1
Adailiya,Industrial,460,130000,0,1,0,1,0,1,93,75,52,87,82,94,0,2,1
Bnaid Al-Qar,Residential,400,200000,1,0,1,1,0,0,81,44,74,87,88,96,1,7,1
Egaila,Investment building,480,140000,0,1,1,0,1,1,62,89,71,87,41,62,1,2,1
Riqqa,Investment building,400,160000,1,1,1,0,0,0,43,47,76,91,55,56,0,0,0
Rawda,Residential,400,160000,0,1,0,0,1,0,49,92,82,51,66,46,0,6,1
DAIYA,Industrial coupon,400,190000,1,1,0,1,0,0,91,81,43,41,71,40,1,3,0
Jaber Al-Ali,investment lands,420,215000,1,0,1,0,1,0,72,86,87,69,80,97,1,4,0
Al Masayel,Residential,412.5,265000,0,1,1,1,1,1,70,67,83,90,42,53,1,3,1
Mutlaa,industrial land,416,215000,1,0,1,0,1,1,91,85,100,98,92,70,1,2,1
Andalus,Residential,416,215000,1,0,1,0,0,1,43,94,48,43,67,93,1,2,1
Mahboula,Residential,416,215000,0,0,0,0,1,1,100,72,72,69,84,58,1,6,1
Al-ardiya6,Commercial building,416,215000,1,0,0,1,1,0,41,89,71,89,46,78,0,0,0
Fnaitees,Residential,400,220000,0,1,1,1,1,1,40,97,44,85,40,86,0,7,0
Sabah Al -Salem,investment lands,658,183000,0,1,1,0,1,0,49,51,59,51,72,69,0,7,1
Shaab,industrial land,400,190000,1,1,0,1,0,0,94,82,56,45,44,56,0,4,1
Alwafra,Residential,400,160000,0,1,0,1,0,0,60,45,52,60,49,98,0,6,1
Nuzha,Residential,416,235000,1,0,0,1,0,1,97,81,47,67,75,96,0,5,1
Jabriya,Residential,640,390000,0,0,1,1,0,1,64,50,80,73,44,94,1,0,1
Ardhiya,investment lands,400,165000,1,1,1,1,0,1,48,84,40,91,81,70,1,3,0
Rumaithiya,Residential,416,235000,0,1,1,0,1,1,44,92,44,92,93,96,1,0,0
Farwaniya,Industrial coupon,400,163000,0,1,1,1,1,1,63,52,60,61,73,63,1,5,1
Salwa,Residential,400,163000,1,0,1,1,0,0,67,67,74,84,60,77,0,0,0
Sabah Al- Ahmad Marine City,investment lands,400,163000,0,0,0,0,0,0,64,92,52,96,56,58,1,6,0
